File_ID,author,title,Year,words,nationality,gender,File_Name,synopsis
63,"Swift, Jonathan",Gulliver's Travels,1726,,b,m,1726_Gulliver's_Travels.txt,
67,"Barker, Jane",The Lining of the Patch-Work Screen,1723,,b,f,1726_The_Lining_of_the_Patch-Work.txt,
77,"Davys, Mary",The Accomplish'd Rake,1727,,b,f,1727_The_Accomplish'd_Rake.txt,
65,"Haywood, Eliza Fowler",The opera of operas,1733,,b,f,1733_The_opera_of_operas.txt,
68,"Aubin, Penelope",Charlotta Du Pont,1723,,b,f,1739_Charlotta_Du_Pont.txt,
64,"Aubin, Penelope",Count de Vinevil,1721,,b,f,1739_Count_de_Vinevil.txt,
66,"Aubin, Penelope",Lady Lucy,1726,,b,f,1739_Lady_Lucy.txt,
62,"Aubin, Penelope",Lucinda,1721,,b,f,1739_Lucinda.txt,
59,"Aubin, Penelope",Madam de Beaumont,1739,,b,f,1739_Madam_de_Beaumont.txt,
61,"Aubin, Penelope",The Noble Slaves,1722,,b,f,1739_The_Noble_Slaves.txt,
54,"Haywood, Eliza Fowler",Anti-Pamela,1741,,b,f,1741_Anti-Pamela.txt,
58,"Fileding, Henry",Joseph Andrews,1742,,b,m,1742_Joseph_Andrews.txt,
34,"Richardson, Samuel",Pamela,1742,,b,m,1742_Pamela.txt,
30,"Fileding, Henry","The Life and Death of Jonathan Wild, the Great",1743,,b,m,1743_The_Life_and_Death_of.txt,
55,"Fielding, Sarah",David Simple,1744,,b,f,1744_David_Simple.txt,
60,"Haywood, Eliza Fowler",The Fortunate Foundlings,1744,,b,f,1744_The_Fortunate_Foundlings.txt,
49,"Smollett, Tobias George",Roderick Random,1748,,b,m,1748_Roderick_Random.txt,
51,"Cleland, John",Memoirs of a Woman of Pleasure,1749,,b,m,1749_Memoirs_of_a_Woman_of.txt,described as the first erotic novel in English and is perhaps the greatest example of the genre.
11,"Fileding, Henry",Tom Jones,1749,,b,m,1749_Tom_Jones.txt,
4,"Haywood, Eliza Fowler",Betsy Thoughtless,1751,,b,f,1751_Betsy_Thoughtless.txt,
53,"Richardson, Samuel",Clarissa,1751,,b,m,1751_Clarissa.txt,
48,"Lennox, Charlotte",Harriot Stuart,1751,,b,f,1751_Harriot_Stuart.txt,
44,"Paltock, Robert",Peter Wilkins,1751,,b,m,1751_Peter_Wilkins.txt,"Robert Paltock?(1697-1767) was a British fantasy and adventure writer whose only confirmed published work,?The Life and Adventures of Peter Wilkins, is considered to be among the first works of science fiction. Although the book was not widely read during Paltock's lifetime, it became popular in the nineteenth century and drew the praise of such prominent writers as?Charles Lamb?and?Samuel Taylor Coleridge."
46,"Coventry, Francis",Pompey the Little,1751,,b,m,1751_Pompey-the-Little.txt,
50,"Smollett, Tobias George",The Adventures of Peregrine Pickle,1751,,b,m,1751_The_Adventures_of_Peregrine_Pickle.txt,
47,"Fileding, Henry",Amelia,1752,,b,m,1752_Amelia.txt,
42,"Lennox, Charlotte",The Female Quixote,1752,,b,f,1752_The_Female_Quixote.txt,
43,"Fielding, Sarah","David Simple, Volume the Last",1753,,b,f,"1753_David_Simple,_Volume_the_Last.txt",
41,"Smollett, Tobias George",Ferdinand Count Fathom,1753,,b,m,1753_Ferdinand_Count_Fathom.txt,
39,"Haywood, Eliza Fowler",Jemmy and Jenny Jessamy,1753,,b,f,1753_Jemmy_and_Jenny_Jessamy.txt,
40,"Richardson, Samuel",Sir Charles Grandison,1754,,b,m,1754_Sir_Charles_Grandison.txt,
36,"Fielding, Sarah",The Cry,1754,,b,f,1754_The_Cry.txt,
37,"Amory, Thomas",John Buncle,1756,,b,m,1756_John_Buncle.txt,
35,"Sterne, Laurence",A Political Romance,1759,,b,m,1759_A Political Romance.txt,
31,"Johnson, Samuel",Rasselas,1759,,b,m,1759_Rasselas.txt,
57,"Fielding, Sarah",The Countess of Dellwyn,1759,,b,f,1759_The_Countess_of_Dellwyn.txt,
33,"Johnstone, Charles",Chrysal,1760,,b,m,1760_Chrysal.txt,
32,"Sterne, Laurence",Tristram Shandy,1760,,b,m,1760_Tristram_Shandy.txt,
29,John Hawkesworth,Almoran and Hamet,1761,,b,m,1761_Almoran_and_Hamet.txt,
56,"Scott, Sarah","A Description Of Millenium Hall, and the Country Adjacent",1762,,b,f,"1762_A_Description_Of_Millenium_Hall,.txt",
38,"Smollett, Tobias George",Sir Launcelot Greaves,1762,,b,m,1762_Sir_Launcelot_Greaves.txt,
26,"Brooke, Frances",Lady Julia Mandeville,1763,,b,f,1763_Lady_Julia_Mandeville.txt,
27,"Walpole, Horace",The Castle of Otranto,1764,,b,m,1764_The_Castle_of_Otranto.txt,
28,"Scott, Sarah",Sir George Ellison,1766,,b,f,1766_Sir_George_Ellison.txt,
25,"Goldsmith, Oliver",The Vicar of Wakefield,1766,,b,m,1766_The_Vicar_of_Wakefield.txt,
18,"Sheridan, Frances Chamberlaine",The History of Nourjahad,1767,,b,m,1767_The_History_of_Nourjahad.txt,
24,"Sterne, Laurence",A Sentimental Journey,1768,,b,m,1768_A_Sentimental_Journey.txt,
22,"Brooke, Frances",Emily Montague,1769,,b,f,1769_The History of Emily Montague.txt,
21,"Smollett, Tobias George",The Adventures of an Atom,1769,,b,m,1769_The_Adventures_of_an_Atom.txt,
20,"Sheridan, Frances Chamberlaine",Conclusion of the Memoirs of Miss Sidney Bidulph,1770,,b,m,1770_Conclusion_of_the_Memoirs_of.txt,
19,"Smollett, Tobias George",Humphry Clinker,1771,,b,m,1771_Humphry_Clinker.txt,
23,"Mackenzie, Henry",The Man of Feeling,1771,,b,m,1771_The_Man_of_Feeling.txt,
14,"Graves, Richard",The Spiritual Quixote,1773,,b,m,1773_The_Spiritual_Quixote.txt,
15,"Mackenzie, Henry",Julia de Roubign  ,1777,,b,m,1777_the-Man-Of-the-World.txt,
17,"Burney, Fanny",Evelina,1778,,b,f,1778_Evelina.txt,
9,"Reeve, Clara",The Old English Baron,1780,,b,f,1780_The_Old_English_Baron.txt,
16,"Burney, Fanny","Cecilia, or Memoirs of an Heiress. By the Author of Evelina. In Five Volumes",1782,,b,f,"1782_Cecilia,_or_Memoirs_of_an.txt",
52,"Reeve, Clara",The Progress of Romance,1785,,b,f,1785_The_Progress_of_Romance.txt,
12,"Smith, Charlotte ","Emmeline, the Orphan of the Castle",1788,,b,f,"1788_Emmeline, the Orphan of the Castle.txt",
13,Mary Wollstonecraft,Mary: A Fiction,1788,,b,f,1788_Mary.txt,
2,"Radcliffe, Ann ",The Romance of the Forest,1791,,b,f,1791_The Romance of the Forest.txt,
1,Ellen and Julia,Ellen and Julia,1793,,b,f,1793_Ellen and Julia.txt,
3,"Smith, Charlotte ",THE OLD MANOR HOUSE,1793,,b,f,1793_THE OLD MANOR HOUSE.txt,
5,William Godwin,"Things as They Are; or, The Adventures of Caleb Williams",1794,,b,m,"1794_Things_as_They_Are;_or,.txt",
0,"Burney, Fanny",Camilla,1796,,b,f,1796_Camilla.txt,
6,Eliza Parsons,"The mysterious warning, a German tale",1796,,b,f,"1796_The mysterious warning, a German tale.txt",
10,Ellen and Julia,Women as they are,1796,,b,f,1796_Women as they are.txt,
